Item_Identifier,Item_Type,Item_Fat_Content,Item_Weight,Item_Visibility,Item_MRP,Outlet_Identifier,Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_City,Item_Outlet_Sales
NCO54,Household,Low Fat,,0.014205168,56.7614,OUT027,1985,Medium,Tier 3,Mumbai,2486.763
FDS26,Dairy,Low Fat,,0.089035961,260.5594,OUT027,1985,Medium,Tier 3,Mumbai,9158.079
FDU56,Fruits and Vegetables,Low Fat,,0.0,184.7266,OUT027,1985,Medium,Tier 3,Mumbai,8114.7704
FDN48,Baking Goods,Low Fat,,0.064636203,90.0804,OUT027,1985,Medium,Tier 3,Mumbai,2113.2492
NCJ54,Household,Low Fat,,0.059776237,231.7642,OUT027,1985,Medium,Tier 3,Mumbai,5344.3766
NCQ43,Others,Low Fat,,0.110762642,108.5912,OUT027,1985,Medium,Tier 3,Mumbai,1637.868
FDZ22,Snack Foods,Low Fat,,0.045050674,84.925,OUT027,1985,Medium,Tier 3,Mumbai,1747.725
FDO44,Fruits and Vegetables,Low Fat,,0.087029712,109.2228,OUT027,1985,Medium,Tier 3,Mumbai,3205.1612
FDL46,Snack Foods,Low Fat,,0.053795154,117.7466,OUT027,1985,Medium,Tier 3,Mumbai,1414.1592
FDX09,Snack Foods,Low Fat,,0.064933297,174.837,OUT027,1985,Medium,Tier 3,Mumbai,4763.799
DRI37,Soft Drinks,Low Fat,,0.107076832,58.7904,OUT027,1985,Medium,Tier 3,Mumbai,1288.9888
FDC46,Snack Foods,Low Fat,,0.115978122,183.4266,OUT027,1985,Medium,Tier 3,Mumbai,7192.6374
FDA34,Starchy Foods,Low Fat,,0.014788594,174.408,OUT027,1985,Medium,Tier 3,Mumbai,7443.644
FDS10,Snack Foods,Low Fat,,0.0350152,182.0318,OUT027,1985,Medium,Tier 3,Mumbai,5954.2494
NCV54,Household,Low Fat,,0.03294861,116.8124,OUT027,1985,Medium,Tier 3,Mumbai,2488.7604
DRH25,Soft Drinks,Low Fat,,0.014522363,50.2324,OUT027,1985,Medium,Tier 3,Mumbai,1298.31
FDV02,Dairy,Low Fat,,0.060252433,170.7106,OUT027,1985,Medium,Tier 3,Mumbai,3079.9908
FDE38,Canned,Low Fat,,0.044391149,164.3842,OUT027,1985,Medium,Tier 3,Mumbai,4476.1734
FDC04,Dairy,Low Fat,,0.044767801,241.8854,OUT027,1985,Medium,Tier 3,Mumbai,4592.0226
FDW01,Canned,Low Fat,,0.063750302,153.4682,OUT027,1985,Medium,Tier 3,Mumbai,2287.023
FDG24,Baking Goods,Low Fat,,0.014560297,81.425,OUT027,1985,Medium,Tier 3,Mumbai,1331.6
FDO04,Frozen Foods,Low Fat,,0.026408698,53.2614,OUT027,1985,Medium,Tier 3,Mumbai,607.8754
NCJ29,Health and Hygiene,Low Fat,,0.035022503,85.1224,OUT027,1985,Medium,Tier 3,Mumbai,2045.3376
FDO36,Baking Goods,Low Fat,,0.07753654,180.866,OUT027,1985,Medium,Tier 3,Mumbai,3235.788
FDR58,Snack Foods,Low Fat,,0.041718456,94.5462,OUT027,1985,Medium,Tier 3,Mumbai,2868.9322
NCK17,Health and Hygiene,Low Fat,,0.037711338,41.548,OUT027,1985,Medium,Tier 3,Mumbai,1358.232
FDD36,Baking Goods,Low Fat,,0.021170542,117.6124,OUT027,1985,Medium,Tier 3,Mumbai,2251.7356
NCM19,Others,Low Fat,,0.047008497,112.0202,OUT027,1985,Medium,Tier 3,Mumbai,5063.409
FDJ45,Seafood,Low Fat,,0.073055148,33.7216,OUT027,1985,Medium,Tier 3,Mumbai,1280.9992
DRE12,Soft Drinks,Low Fat,,0.0704378,112.886,OUT027,1985,Medium,Tier 3,Mumbai,2942.836
NCO17,Health and Hygiene,Low Fat,,0.073024401,121.844,OUT027,1985,Medium,Tier 3,Mumbai,3115.944
FDX59,Breads,Low Fat,,0.0514111,33.0558,OUT027,1985,Medium,Tier 3,Mumbai,984.7182
NCK54,Household,Low Fat,,0.029380407,114.715,OUT027,1985,Medium,Tier 3,Mumbai,1864.24
FDA45,Snack Foods,Low Fat,,0.154627247,177.637,OUT027,1985,Medium,Tier 3,Mumbai,5469.547
NCP06,Household,Low Fat,,0.039055756,152.3366,OUT027,1985,Medium,Tier 3,Mumbai,2115.9124
FDU14,Dairy,Low Fat,,0.034584356,248.375,OUT027,1985,Medium,Tier 3,Mumbai,10236.675
FDS03,Meat,Low Fat,,0.079243005,65.8826,OUT027,1985,Medium,Tier 3,Mumbai,1614.565
NCG43,Household,Low Fat,,0.073879939,94.0462,OUT027,1985,Medium,Tier 3,Mumbai,1850.924
FDR23,Breads,Low Fat,,0.08139146,177.837,OUT027,1985,Medium,Tier 3,Mumbai,6351.732
FDS52,Frozen Foods,Low Fat,,0.005448005,102.1016,OUT027,1985,Medium,Tier 3,Mumbai,3542.056
DRF23,Hard Drinks,Low Fat,,0.122058364,172.8396,OUT027,1985,Medium,Tier 3,Mumbai,7152.0236
FDC35,Starchy Foods,Low Fat,,0.122242847,207.5638,OUT027,1985,Medium,Tier 3,Mumbai,4555.4036
FDZ38,Dairy,Low Fat,,0.007962273,174.0422,OUT027,1985,Medium,Tier 3,Mumbai,5173.266
NCB43,Household,Low Fat,,0.099428487,187.8898,OUT027,1985,Medium,Tier 3,Mumbai,7296.5022
FDD20,Fruits and Vegetables,Low Fat,,0.020614212,126.4046,OUT027,1985,Medium,Tier 3,Mumbai,5353.6978
NCM54,Household,Low Fat,,0.050692386,125.6678,OUT027,1985,Medium,Tier 3,Mumbai,4832.3764
FDI44,Fruits and Vegetables,Low Fat,,0.099747488,75.2328,OUT027,1985,Medium,Tier 3,Mumbai,1544.656
FDB21,Fruits and Vegetables,Low Fat,,0.0,242.9854,OUT027,1985,Medium,Tier 3,Mumbai,6767.1912
NCM05,Health and Hygiene,Low Fat,,0.059557164,263.7226,OUT027,1985,Medium,Tier 3,Mumbai,6872.3876
FDT46,Snack Foods,Low Fat,,0.030657949,50.5008,OUT027,1985,Medium,Tier 3,Mumbai,1012.016
FDM21,Snack Foods,Low Fat,,0.064052392,256.1646,OUT027,1985,Medium,Tier 3,Mumbai,7472.2734
FDY36,Baking Goods,Low Fat,,0.009364957,74.238,OUT027,1985,Medium,Tier 3,Mumbai,1171.808
FDO34,Snack Foods,Low Fat,,0.029793955,167.2816,OUT027,1985,Medium,Tier 3,Mumbai,5704.5744
FDH57,Fruits and Vegetables,Low Fat,,0.035574413,131.4284,OUT027,1985,Medium,Tier 3,Mumbai,5404.9644
FDW45,Snack Foods,Low Fat,,0.038822077,147.7418,OUT027,1985,Medium,Tier 3,Mumbai,1618.5598
NCW29,Health and Hygiene,Low Fat,,0.028723187,131.831,OUT027,1985,Medium,Tier 3,Mumbai,3635.268
DRF03,Dairy,Low Fat,,0.045088724,39.7138,OUT027,1985,Medium,Tier 3,Mumbai,1096.5726
NCO41,Health and Hygiene,Low Fat,,0.018757586,96.9384,OUT027,1985,Medium,Tier 3,Mumbai,2167.8448
NCR41,Health and Hygiene,Low Fat,,0.017936715,93.7094,OUT027,1985,Medium,Tier 3,Mumbai,4189.2136
FDR48,Baking Goods,Low Fat,,0.130867413,150.8024,OUT027,1985,Medium,Tier 3,Mumbai,4402.2696
FDW37,Canned,Low Fat,,0.123449671,89.7488,OUT027,1985,Medium,Tier 3,Mumbai,1901.5248
NCQ41,Health and Hygiene,Low Fat,,0.019386057,194.5794,OUT027,1985,Medium,Tier 3,Mumbai,3511.4292
FDG31,Meat,Low Fat,,0.037712875,64.4826,OUT027,1985,Medium,Tier 3,Mumbai,2518.7214
FDI19,Meat,Low Fat,,0.052085615,242.8512,OUT027,1985,Medium,Tier 3,Mumbai,5816.4288
FDQ56,Fruits and Vegetables,Low Fat,,0.105085956,82.3908,OUT027,1985,Medium,Tier 3,Mumbai,3691.1952
NCZ17,Health and Hygiene,Low Fat,,0.079046992,39.8506,OUT027,1985,Medium,Tier 3,Mumbai,1480.0734
DRG49,Soft Drinks,Low Fat,,0.067128641,242.8486,OUT027,1985,Medium,Tier 3,Mumbai,3420.8804
FDP23,Breads,Low Fat,,0.035414528,218.2166,OUT027,1985,Medium,Tier 3,Mumbai,3701.1822
FDZ20,Fruits and Vegetables,Low Fat,,0.0,253.0356,OUT027,1985,Medium,Tier 3,Mumbai,11445.102
DRH51,Dairy,Low Fat,,0.0,89.1856,OUT027,1985,Medium,Tier 3,Mumbai,2109.2544
FDN20,Fruits and Vegetables,Low Fat,,0.026055106,169.5474,OUT027,1985,Medium,Tier 3,Mumbai,4211.185
FDK15,Meat,Low Fat,,0.097937252,98.9042,OUT027,1985,Medium,Tier 3,Mumbai,4960.21
NCB31,Household,Low Fat,,0.118099673,262.891,OUT027,1985,Medium,Tier 3,Mumbai,5522.811
FDR46,Snack Foods,Low Fat,,0.138742518,147.476,OUT027,1985,Medium,Tier 3,Mumbai,3368.948
NCT29,Health and Hygiene,Low Fat,,0.063800266,123.0414,OUT027,1985,Medium,Tier 3,Mumbai,4629.9732
NCM18,Household,Low Fat,,0.082440705,61.3194,OUT027,1985,Medium,Tier 3,Mumbai,2043.3402
FDP24,Baking Goods,Low Fat,,0.082602127,120.9756,OUT027,1985,Medium,Tier 3,Mumbai,3877.6192
FDE16,Frozen Foods,Low Fat,,0.026216144,207.5954,OUT027,1985,Medium,Tier 3,Mumbai,6668.6528
FDT22,Snack Foods,Low Fat,,0.111554381,59.822,OUT027,1985,Medium,Tier 3,Mumbai,1677.816
FDF16,Frozen Foods,Low Fat,,0.085715273,146.6076,OUT027,1985,Medium,Tier 3,Mumbai,1773.6912
FDH32,Fruits and Vegetables,Low Fat,,0.075691713,98.241,OUT027,1985,Medium,Tier 3,Mumbai,2220.443
FDD50,Canned,Low Fat,,0.14095631,167.7132,OUT027,1985,Medium,Tier 3,Mumbai,3889.6036
FDW20,Fruits and Vegetables,Low Fat,,0.024032484,124.973,OUT027,1985,Medium,Tier 3,Mumbai,2463.46
FDG29,Frozen Foods,Low Fat,,0.056019324,40.0454,OUT027,1985,Medium,Tier 3,Mumbai,419.454
FDA16,Frozen Foods,Low Fat,,0.033777629,222.8456,OUT027,1985,Medium,Tier 3,Mumbai,7073.4592
FDZ40,Frozen Foods,Low Fat,,0.039988162,55.7298,OUT027,1985,Medium,Tier 3,Mumbai,1024.6662
NCM17,Health and Hygiene,Low Fat,,0.070791391,46.4086,OUT027,1985,Medium,Tier 3,Mumbai,2007.387
FDW11,Breads,Low Fat,,0.048545853,60.1194,OUT027,1985,Medium,Tier 3,Mumbai,1114.5492
FDI46,Snack Foods,Low Fat,,0.073985248,252.5724,OUT027,1985,Medium,Tier 3,Mumbai,3271.7412
FDP25,Canned,Low Fat,,0.02110482,217.0824,OUT027,1985,Medium,Tier 3,Mumbai,6769.8544
NCY05,Health and Hygiene,Low Fat,,0.054723717,36.6874,OUT027,1985,Medium,Tier 3,Mumbai,1058.622
FDI57,Seafood,Low Fat,,0.053764023,195.7768,OUT027,1985,Medium,Tier 3,Mumbai,3547.3824
DRL11,Hard Drinks,Low Fat,,0.04778563,156.5946,OUT027,1985,Medium,Tier 3,Mumbai,3787.0704
FDZ33,Snack Foods,Low Fat,,0.106876976,146.7076,OUT027,1985,Medium,Tier 3,Mumbai,3842.9976
FDW56,Fruits and Vegetables,Low Fat,,0.070556945,191.2162,OUT027,1985,Medium,Tier 3,Mumbai,7504.2318
NCL05,Health and Hygiene,Low Fat,,0.047665717,42.177,OUT027,1985,Medium,Tier 3,Mumbai,1255.033
NCZ54,Household,Low Fat,,0.082955719,164.0552,OUT027,1985,Medium,Tier 3,Mumbai,5523.4768
FDD29,Frozen Foods,Low Fat,,0.018321361,255.3698,OUT027,1985,Medium,Tier 3,Mumbai,4819.7262
FDK57,Snack Foods,Low Fat,,0.079904068,120.044,OUT027,1985,Medium,Tier 3,Mumbai,4434.228
FDW49,Canned,Low Fat,,0.082152451,179.9002,OUT027,1985,Medium,Tier 3,Mumbai,4119.3046
NCK06,Household,Low Fat,,0.008604657,123.1756,OUT027,1985,Medium,Tier 3,Mumbai,1211.756
FDM14,Canned,Low Fat,,0.013199737,108.9254,OUT027,1985,Medium,Tier 3,Mumbai,2713.135
NCV06,Household,Low Fat,,0.066358426,195.2478,OUT027,1985,Medium,Tier 3,Mumbai,7168.6686
DRF25,Soft Drinks,Low Fat,,0.038736754,37.319,OUT027,1985,Medium,Tier 3,Mumbai,1281.665
DRJ47,Hard Drinks,Low Fat,,0.04403602,173.308,OUT027,1985,Medium,Tier 3,Mumbai,6751.212
NCT17,Health and Hygiene,Low Fat,,0.041663111,188.6214,OUT027,1985,Medium,Tier 3,Mumbai,6029.4848
FDG44,Fruits and Vegetables,Low Fat,,0.0,55.7298,OUT027,1985,Medium,Tier 3,Mumbai,2804.3496
NCO42,Household,Low Fat,,0.024536199,144.6102,OUT027,1985,Medium,Tier 3,Mumbai,3791.0652
FDL20,Fruits and Vegetables,Low Fat,,0.127792701,111.1886,OUT027,1985,Medium,Tier 3,Mumbai,4447.544
NCZ53,Health and Hygiene,Low Fat,,0.024358634,190.4214,OUT027,1985,Medium,Tier 3,Mumbai,5652.642
NCB18,Household,Low Fat,,0.041091215,89.5514,OUT027,1985,Medium,Tier 3,Mumbai,3364.9532
FDU55,Fruits and Vegetables,Low Fat,,0.035737373,260.6278,OUT027,1985,Medium,Tier 3,Mumbai,9371.8008
FDO25,Canned,Low Fat,,0.126831854,209.027,OUT027,1985,Medium,Tier 3,Mumbai,4613.994
NCI31,Others,Low Fat,,0.080933328,37.519,OUT027,1985,Medium,Tier 3,Mumbai,842.237
FDU38,Dairy,Low Fat,,0.082150145,192.9504,OUT027,1985,Medium,Tier 3,Mumbai,7478.2656
FDG40,Frozen Foods,Low Fat,,0.039631495,31.9558,OUT027,1985,Medium,Tier 3,Mumbai,984.7182
FDO23,Breads,Low Fat,,0.14571827,94.3436,OUT027,1985,Medium,Tier 3,Mumbai,2269.0464
FDH09,Seafood,Low Fat,,0.055806016,52.4982,OUT027,1985,Medium,Tier 3,Mumbai,1209.7586
FDE32,Fruits and Vegetables,Low Fat,,0.048522793,39.6506,OUT027,1985,Medium,Tier 3,Mumbai,1024.6662
FDN02,Canned,Low Fat,,0.073470234,205.3638,OUT027,1985,Medium,Tier 3,Mumbai,5383.6588
FDC02,Canned,Low Fat,,0.068489201,259.3278,OUT027,1985,Medium,Tier 3,Mumbai,4165.2448
DRI23,Hard Drinks,Low Fat,,0.136532569,159.6578,OUT027,1985,Medium,Tier 3,Mumbai,2888.2404
DRG23,Hard Drinks,Low Fat,,0.086360962,151.2682,OUT027,1985,Medium,Tier 3,Mumbai,2439.4912
FDV07,Fruits and Vegetables,Low Fat,,0.031131455,111.0228,OUT027,1985,Medium,Tier 3,Mumbai,3205.1612
FDV38,Dairy,Low Fat,,0.101281,55.0956,OUT027,1985,Medium,Tier 3,Mumbai,2020.0372
DRG48,Soft Drinks,Low Fat,,0.014484582,143.9102,OUT027,1985,Medium,Tier 3,Mumbai,3062.0142
NCM07,Others,Low Fat,,0.03976832,83.9908,OUT027,1985,Medium,Tier 3,Mumbai,2348.9424
NCA06,Household,Low Fat,,0.142589751,35.919,OUT027,1985,Medium,Tier 3,Mumbai,585.904
NCE54,Household,Low Fat,,0.026769592,77.0354,OUT027,1985,Medium,Tier 3,Mumbai,2332.2974
DRJ59,Hard Drinks,Low Fat,,0.0,39.0164,OUT027,1985,Medium,Tier 3,Mumbai,1042.6428
DRK35,Hard Drinks,Low Fat,,0.071498575,37.7506,OUT027,1985,Medium,Tier 3,Mumbai,796.9626
NCI54,Household,Low Fat,,0.033436336,107.3912,OUT027,1985,Medium,Tier 3,Mumbai,3057.3536
FDL04,Frozen Foods,Low Fat,,0.111381428,106.7622,OUT027,1985,Medium,Tier 3,Mumbai,2964.1416
DRZ24,Soft Drinks,Low Fat,,0.0,121.044,OUT027,1985,Medium,Tier 3,Mumbai,2396.88
FDQ12,Baking Goods,Low Fat,,0.03523927,231.601,OUT027,1985,Medium,Tier 3,Mumbai,5972.226
DRB25,Soft Drinks,Low Fat,,0.06912336,106.0938,OUT027,1985,Medium,Tier 3,Mumbai,2787.0388
FDG02,Canned,Low Fat,,0.011206632,191.4188,OUT027,1985,Medium,Tier 3,Mumbai,3998.7948
FDV21,Snack Foods,Low Fat,,0.170254469,124.8704,OUT027,1985,Medium,Tier 3,Mumbai,2127.8968
FDM56,Fruits and Vegetables,Low Fat,,0.069851683,110.9912,OUT027,1985,Medium,Tier 3,Mumbai,1310.2944
FDZ52,Frozen Foods,Low Fat,,0.099589909,109.1886,OUT027,1985,Medium,Tier 3,Mumbai,4225.1668
FDG60,Baking Goods,Low Fat,,0.060405784,234.5616,OUT027,1985,Medium,Tier 3,Mumbai,6796.4864
FDA36,Baking Goods,Low Fat,,0.005638944,184.9924,OUT027,1985,Medium,Tier 3,Mumbai,3146.5708
FDV51,Meat,Low Fat,,0.032381325,166.1842,OUT027,1985,Medium,Tier 3,Mumbai,5470.8786
FDP11,Breads,Low Fat,,0.068765925,216.9166,OUT027,1985,Medium,Tier 3,Mumbai,4354.332
NCN43,Others,Low Fat,,0.006727008,125.173,OUT027,1985,Medium,Tier 3,Mumbai,3202.498
FDF20,Fruits and Vegetables,Low Fat,,0.033059299,196.4768,OUT027,1985,Medium,Tier 3,Mumbai,6306.4576
NCE07,Household,Low Fat,,0.013066448,140.9154,OUT027,1985,Medium,Tier 3,Mumbai,2127.231
FDF12,Baking Goods,Low Fat,,0.082028694,148.6076,OUT027,1985,Medium,Tier 3,Mumbai,3990.8052
NCL53,Health and Hygiene,Low Fat,,0.0,175.4028,OUT027,1985,Medium,Tier 3,Mumbai,6729.9064
FDE09,Fruits and Vegetables,Low Fat,,0.021498768,111.5228,OUT027,1985,Medium,Tier 3,Mumbai,1768.3648
FDU25,Canned,Low Fat,,0.026552056,56.2246,OUT027,1985,Medium,Tier 3,Mumbai,1737.738
FDP38,Canned,Low Fat,,0.031946638,51.6008,OUT027,1985,Medium,Tier 3,Mumbai,1821.6288
DRK49,Soft Drinks,Low Fat,,0.035769657,40.9138,OUT027,1985,Medium,Tier 3,Mumbai,1380.8692
NCO55,Others,Low Fat,,0.090596378,106.6938,OUT027,1985,Medium,Tier 3,Mumbai,2251.0698
FDA50,Dairy,Low Fat,,0.086752988,98.141,OUT027,1985,Medium,Tier 3,Mumbai,1737.738
FDL33,Snack Foods,Low Fat,,0.099478451,194.4452,OUT027,1985,Medium,Tier 3,Mumbai,4697.8848
FDV08,Fruits and Vegetables,Low Fat,,0.028456456,43.5454,OUT027,1985,Medium,Tier 3,Mumbai,755.0172
NCR05,Health and Hygiene,Low Fat,,0.054366282,199.6084,OUT027,1985,Medium,Tier 3,Mumbai,7142.7024
FDX28,Frozen Foods,Low Fat,,0.0,100.7042,OUT027,1985,Medium,Tier 3,Mumbai,3174.5344
FDN57,Snack Foods,Low Fat,,0.053971566,141.2154,OUT027,1985,Medium,Tier 3,Mumbai,3119.9388
DRK13,Soft Drinks,Low Fat,,0.114609875,197.0084,OUT027,1985,Medium,Tier 3,Mumbai,3372.9428
FDH33,Snack Foods,Low Fat,,0.0,44.1428,OUT027,1985,Medium,Tier 3,Mumbai,1362.2268
FDQ22,Snack Foods,Low Fat,,0.029595637,40.9822,OUT027,1985,Medium,Tier 3,Mumbai,864.2084
DRG01,Soft Drinks,Low Fat,,0.044660955,74.767,OUT027,1985,Medium,Tier 3,Mumbai,2679.845
DRJ39,Dairy,Low Fat,,0.036150153,219.5482,OUT027,1985,Medium,Tier 3,Mumbai,5695.2532
NCM30,Household,Low Fat,,0.066969525,39.2796,OUT027,1985,Medium,Tier 3,Mumbai,701.7532
DRK23,Hard Drinks,Low Fat,,0.071628097,251.904,OUT027,1985,Medium,Tier 3,Mumbai,4301.068
DRD24,Soft Drinks,Low Fat,,0.030645958,141.7154,OUT027,1985,Medium,Tier 3,Mumbai,2694.4926
FDJ28,Frozen Foods,Low Fat,,0.0,190.9162,OUT027,1985,Medium,Tier 3,Mumbai,5772.486
FDO32,Fruits and Vegetables,Low Fat,,0.119959873,45.506,OUT027,1985,Medium,Tier 3,Mumbai,885.514
FDH10,Snack Foods,Low Fat,,0.049066248,192.4478,OUT027,1985,Medium,Tier 3,Mumbai,8912.3988
NCP50,Others,Low Fat,,0.020460284,81.7618,OUT027,1985,Medium,Tier 3,Mumbai,2175.1686
FDU35,Breads,Low Fat,,0.078831762,98.97,OUT027,1985,Medium,Tier 3,Mumbai,3395.58
FDW48,Baking Goods,Low Fat,,0.008499464,81.3618,OUT027,1985,Medium,Tier 3,Mumbai,1530.6742
NCB07,Household,Low Fat,,0.077132215,197.411,OUT027,1985,Medium,Tier 3,Mumbai,5892.33
FDJ07,Meat,Low Fat,,0.014353676,115.515,OUT027,1985,Medium,Tier 3,Mumbai,1631.21
NCL07,Others,Low Fat,,0.0311868,39.548,OUT027,1985,Medium,Tier 3,Mumbai,759.012
FDA10,Snack Foods,Low Fat,,0.141129263,121.6072,OUT027,1985,Medium,Tier 3,Mumbai,3430.2016
FDU36,Baking Goods,Low Fat,,0.0,100.1384,OUT027,1985,Medium,Tier 3,Mumbai,2956.152
FDU32,Fruits and Vegetables,Low Fat,,0.025841875,120.7414,OUT027,1985,Medium,Tier 3,Mumbai,4386.2904
NCB06,Health and Hygiene,Low Fat,,0.081933378,161.492,OUT027,1985,Medium,Tier 3,Mumbai,6391.68
NCK29,Health and Hygiene,Low Fat,,0.0,125.173,OUT027,1985,Medium,Tier 3,Mumbai,3572.017
FDD57,Fruits and Vegetables,Low Fat,,0.022291121,93.6094,OUT027,1985,Medium,Tier 3,Mumbai,3713.1666
FDR47,Breads,Low Fat,,0.087045086,196.7794,OUT027,1985,Medium,Tier 3,Mumbai,6242.5408
NCK42,Household,Low Fat,,0.013056494,215.9192,OUT027,1985,Medium,Tier 3,Mumbai,7334.4528
FDL26,Canned,Low Fat,,0.072838381,155.2972,OUT027,1985,Medium,Tier 3,Mumbai,5141.3076
FDL44,Fruits and Vegetables,Low Fat,,0.012215675,162.7894,OUT027,1985,Medium,Tier 3,Mumbai,5500.8396
FDL45,Snack Foods,Low Fat,,0.037505332,126.2704,OUT027,1985,Medium,Tier 3,Mumbai,4255.7936
FDN27,Meat,Low Fat,,0.039370913,116.9808,OUT027,1985,Medium,Tier 3,Mumbai,3866.9664
NCC19,Household,Low Fat,,0.096411426,192.982,OUT027,1985,Medium,Tier 3,Mumbai,4633.968
NCL54,Household,Low Fat,,0.082353076,176.9054,OUT027,1985,Medium,Tier 3,Mumbai,4202.5296
NCM43,Others,Low Fat,,0.01938106,164.321,OUT027,1985,Medium,Tier 3,Mumbai,5546.114
FDQ33,Snack Foods,Low Fat,,0.0,151.6708,OUT027,1985,Medium,Tier 3,Mumbai,4815.0656
DRN47,Hard Drinks,Low Fat,,0.016745264,180.766,OUT027,1985,Medium,Tier 3,Mumbai,3056.022
NCG07,Household,Low Fat,,0.052247806,190.853,OUT027,1985,Medium,Tier 3,Mumbai,4554.072
FDW25,Canned,Low Fat,,0.037217847,86.8224,OUT027,1985,Medium,Tier 3,Mumbai,1448.7808
NCZ06,Household,Low Fat,,0.09370568,253.8698,OUT027,1985,Medium,Tier 3,Mumbai,3297.7074
FDJ48,Baking Goods,Low Fat,,0.056161529,246.9118,OUT027,1985,Medium,Tier 3,Mumbai,5681.2714
FDO50,Canned,Low Fat,,0.077790204,93.0804,OUT027,1985,Medium,Tier 3,Mumbai,2940.1728
FDX37,Canned,Low Fat,,0.062724117,100.57,OUT027,1985,Medium,Tier 3,Mumbai,5093.37
DRM48,Soft Drinks,Low Fat,,0.112349962,39.1848,OUT027,1985,Medium,Tier 3,Mumbai,559.272
FDF46,Snack Foods,Low Fat,,0.093217569,116.7834,OUT027,1985,Medium,Tier 3,Mumbai,4952.8862
FDF52,Frozen Foods,Low Fat,,0.066459891,184.2292,OUT027,1985,Medium,Tier 3,Mumbai,4560.73
